OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ShapeSTArea,ShapeSTLength
131,Shag Rocks,Commonwealth of Massachusetts,A97/Ch91/WPA,6,Harbor Islands,1.319814, ,Commercial/Office/Business District,Urban Wilds & Natural Areas,DCR, ,X,X,57492.13867,1060.761266
132,Long Island,City of Boston,Ch91/WPA,2,Harbor Islands,225.185666, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",NULL, ,N,X,9809262.017,20824.59346
133,Little Brewster Island,United States of America,Ch91/WPA,6,Harbor Islands,3.124139, ,Commercial/Office/Business District,Urban Wilds & Natural Areas,US Coast Guard, ,N, ,136089.8931,1664.731059
134,Thompson Island,Private,Land Trust,2,Harbor Islands,169.872732, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",NULL, ,N, ,7399787.756,15923.2919
135,Rainsford Island,City of Boston,Ch91/WPA,2,Harbor Islands,21.652364, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",NULL, ,N,X,728999.9895,6827.78051
136,Deer Island,MWRA,Ch91/WPA,2,Harbor Islands,91.327796, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",MWRA, ,N,X,3978309.459,23526.77039
137,Moon Island,City of Boston,Ch91/WPA,2,Harbor Islands,54.085104, ,Open Space & Residential Districts,"Parkways, Reservations & Beaches",NULL, ,N, ,2355988.997,13367.59931
138,Connell Fields/Hickey Courts,Commonwealth of Massachusetts,A97,3,Hyde Park,4.148374, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X,731043.5383,3936.998764
139,Weider Park,Commonwealth of Massachusetts,A97,3,Hyde Park,6.919311, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X,299833.9478,2275.150575
140,Monterey Hilltop I,City of Boston,A97,6,Hyde Park,4.123743, ,Residential District,Urban Wilds & Natural Areas,BCC,BPRD,X, ,182255.645,2694.471146
141,Monterey Hilltop II,Private, ,6,Hyde Park,0.10409, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, ,4961.453125,459.198007
142,Sherrin Woods I,City of Boston,A97,6,Hyde Park,23.813398, ,Residential District,Urban Wilds & Natural Areas,BCC,BPRD,X,X,1043137.412,5549.270605
